epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.65627,1.50263,3.13625,1.70369,0.00333,1,0.08865,0.03913,1.39998,3.44806,1.65484,6e-05,6e-05,6e-05
2,4.17725,1.56676,3.20353,1.74798,0.00333,1,0.20723,0.08646,1.39849,3.35251,1.61372,0.000138614,0.000138614,0.000138614
3,4.74528,1.63082,3.39476,1.78234,0.00333,1,0.88212,0.6497,0.73836,2.91908,1.16389,0.000215644,0.000215644,0.000215644
4,5.28101,1.29227,2.0383,1.42689,0.00333,1,0.995,0.79868,0.69712,2.62116,1.16225,0.00029109,0.00029109,0.00029109
5,5.7971,1.12217,1.66576,1.29444,0.00333,1,0.995,0.79067,0.71048,2.62465,1.19848,0.000364952,0.000364952,0.000364952
6,6.23851,0.97414,1.56155,1.20984,0.00598,1,0.97192,0.76615,0.68442,2.55636,1.15859,0.00043723,0.00043723,0.00043723
7,6.67134,1.0305,1.59514,1.24058,0.46163,0.9,0.94045,0.78531,0.65361,2.63148,1.10287,0.000507924,0.000507924,0.000507924
8,7.12142,1.02434,1.58781,1.24443,1,0.57085,0.945,0.76799,0.65497,2.61633,1.13412,0.000577034,0.000577034,0.000577034
9,7.55434,1.09343,1.5772,1.31725,1,0.59887,0.93167,0.71414,0.82542,2.52396,1.20069,0.00064456,0.00064456,0.00064456
10,7.98873,0.91604,1.40646,1.20087,1,0.60067,0.98591,0.76732,0.81468,2.70785,1.17366,0.000710502,0.000710502,0.000710502
11,8.42923,1.04054,1.54129,1.2848,0.95846,0.9,0.93346,0.71423,0.90692,2.68526,1.32811,0.00077486,0.00077486,0.00077486
12,8.87627,1.21933,1.51485,1.40526,0.81758,0.89668,0.86848,0.66128,1.0597,2.71296,1.43298,0.000837634,0.000837634,0.000837634
13,9.32271,1.16254,1.5569,1.40606,0.00333,1,0.41867,0.28632,1.03787,3.01767,1.37802,0.000898824,0.000898824,0.000898824
